relpath,file_name,domain_from_path,doc_class_from_path,subgroup,size_bytes,sha256,page_count,text_chars,chars_per_page,pages_with_text,empty_page_ratio,extractable,devanagari_chars,latin_chars,devanagari_share,function_word_ratio,replacement_char_rate,text_quality,language,has_outline,outline_entries,images_total,pdf_title,pdf_producer,pdf_creation_date,encrypted,years_in_name,error,probe_section_headings,probe_section_word,probe_rule_word,probe_chapter,probe_subsection,probe_clause,probe_form,probe_schedule,probe_fee_marker
Patents/Acts/The Patents Act 1970 English.pdf,The Patents Act 1970 English.pdf,PATENT,ACT,Acts,431759,943f2afea493474af3fe3cf8b9ce7f456757616ee57083d6ce32a02c3a33914e,64,217882,3404.4,64,0.0,True,0,173058,0.0,0.527,0.0,GOOD,ENGLISH,False,0,1,patent act 1977-3-99,Acrobat Distiller 9.0.0 (Windows),D:20151217125635+05'30',False,1970,,344,11,0,47,337,55,0,2,33
Patents/Acts/The Patents Act 1970 Hindi.pdf,The Patents Act 1970 Hindi.pdf,PATENT,ACT,Acts,5223267,9b9da497989f82bac4ad053bc913027cd4c0db56d6b389e211fbe79c2472f9d3,73,72,1.0,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,True,2,145,1970.pdf,Adobe Acrobat 8.1,D:20081104161208+05'30',False,1970,,0,0,0,0,0,0,0,0,0
"Patents/Acts/The Patents Act, 1970 (incorporating all amendments till 01-08-2024).pdf","The Patents Act, 1970 (incorporating all amendments till 01-08-2024).pdf",PATENT,ACT,Acts,665996,d57084888c69d70b16ed6a52a612363a526994203effa58880a26faaaa6e0678,69,249967,3622.7,69,0.0,True,0,184857,0.0,0.5232,0.0,GOOD,ENGLISH,False,0,0,,Microsoft® Word 2019,D:20241114111916+05'30',False,1970;2024,,538,12,0,44,226,327,0,2,27
"Patents/Acts/The Tribunals Reforms Act, 2021.pdf","The Tribunals Reforms Act, 2021.pdf",PATENT,ACT,Acts,531644,f8c455b107ba3e6d945da44c3f793f331acb44360128312c00ead4c67fba8d5e,17,41108,2418.1,17,0.0,True,9,29938,0.0,0.5068,0.0,GOOD,ENGLISH,False,0,1,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20210813232528+05'30',False,2021,,65,1,0,27,24,195,0,3,0
Patents/Guidelines/Annexure I - Additional Illustrative Examples (CRIs 2025).pdf,Annexure I - Additional Illustrative Examples (CRIs 2025).pdf,PATENT,GUIDELINE,Guidelines,520127,1eb62749dd27a00a0626e2dc8d41baacc94bd33022648a7abd191de645a7a4e4,73,130855,1792.5,73,0.0,True,0,105964,0.0,0.2777,0.0,GOOD,ENGLISH,True,6,0,,Adobe PDF Library 10.0,D:20250715134420+05'30',False,2025,,41,36,0,0,0,0,0,1,9
Patents/Guidelines/Annexure II - Non Exhaustive List of Case Laws related to CRIs (2025).pdf,Annexure II - Non Exhaustive List of Case Laws related to CRIs (2025).pdf,PATENT,GUIDELINE,Guidelines,141477,31d9f5b36e354524ecfe3ddd9fdf43d8c59b22c745d0deb6cc0cc9b9417bb17e,2,5213,2606.5,2,0.0,True,0,3027,0.0,0.1232,0.0,DEGRADED,ENGLISH,False,0,0,Annexure II - Non Exhaustive List of Case Laws related to CRIs,Skia/PDF m149 Google Docs Renderer,,False,2025,,0,0,0,0,0,0,0,0,0
Patents/Guidelines/Draft guideline for Computer Related Inventions (CRIs) - 2013.pdf,Draft guideline for Computer Related Inventions (CRIs) - 2013.pdf,PATENT,GUIDELINE,Guidelines,1057781,21cb7cc31e4cf7c1cf3af490f5ed97cee3ae4e98d5b2e91cbda83aaec41a4fd5,47,73169,1556.8,44,0.064,True,0,55824,0.0,0.3673,0.0,GOOD,ENGLISH,False,0,12,,Microsoft® Word 2010,D:20130628175240+05'30',False,2013,,28,6,0,0,4,13,0,0,0
Patents/Guidelines/Draft Guidelines for Search and Examination of Patent application inviting Comments or Suggestion -2015.pdf,Draft Guidelines for Search and Examination of Patent application inviting Comments or Suggestion -2015.pdf,PATENT,GUIDELINE,Guidelines,690222,070bc3a6e3b4fd960e52b0c943d58d3171b554adfe265956c4c9331ab0b16ed3,115,220866,1920.6,115,0.0,True,0,169436,0.0,0.4155,0.0,GOOD,ENGLISH,True,33,92,,Adobe PDF Library 10.0,D:20150304112203+05'30',False,2015,,105,57,12,15,7,89,1,1,18
Patents/Guidelines/Draft Guidelines for Search and Examination of Patent Public Notice.pdf,Draft Guidelines for Search and Examination of Patent Public Notice.pdf,PATENT,GUIDELINE,Guidelines,360999,3f3fcd605e5dbde19d88387ab0b2f49de2c4b64086a6eea5b7be1fab996f203d,1,0,0.0,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,False,0,1,,,,False,,,0,0,0,0,0,0,0,0,0
Patents/Guidelines/Guidelines for Examination of Ayush Related Inventions-2025.pdf,Guidelines for Examination of Ayush Related Inventions-2025.pdf,PATENT,GUIDELINE,Guidelines,3084145,2bab3cef1b08c07155976c089e05fc4f3f77009d4172423b145fc49da70ca082,20,35747,1787.3,20,0.0,True,0,27475,0.0,0.3458,0.0,GOOD,ENGLISH,False,0,32,,PDFium,D:20250923152845,False,2025,,15,23,0,0,0,0,0,0,0
